January 2, 2012; New York Times; 1374 words; Campaigns/Elections/Politics
February 29, 2012; Traverse City Record; 1861 words; Campaigns/Elections/Politics
February 29, 2012; Traverse City Record; 415 words; Campaigns/Elections/Politics
March 6, 2012; Traverse City Record; 1012 words; Campaigns/Elections/Politics
April 20, 2012; Traverse City Record; 839 words; Campaigns/Elections/Politics
April 23, 2012; Traverse City Record; 981 words; Campaigns/Elections/Politics
May 2, 2012; Traverse City Record; 859 words; U.S. Foreign Affairs
March 4, 2012; Daily Herald (Everett, WA); 1085 words; Campaigns/Elections/Politics
January 5, 2012; Eagle Tribune (MA); 784 words; Campaigns/Elections/Politics
January 5, 2012; Eagle Tribune (MA); 585 words; Campaigns/Elections/Politics
January 8, 2012; Eagle Tribune (MA); 1248 words; Campaigns/Elections/Politics
January 11, 2012; Eagle Tribune (MA); 1327 words; Campaigns/Elections/Politics
January 11, 2012; Eagle Tribune (MA); 783 words; Campaigns/Elections/Politics
January 4, 2012; ABC Good Morning America; 137 word equivalents; Campaigns/Elections/Politics
January 4, 2012; ABC Good Morning America; 427 word equivalents; Campaigns/Elections/Politics
January 4, 2012; ABC Good Morning America; 715 word equivalents; Campaigns/Elections/Politics
January 4, 2012; ABC Good Morning America; 425 word equivalents; Campaigns/Elections/Politics
January 9, 2012; ABC Good Morning America; 487 word equivalents; Campaigns/Elections/Politics
January 11, 2012; ABC Good Morning America; 400 word equivalents; Campaigns/Elections/Politics
January 11, 2012; ABC Good Morning America; 72 word equivalents; Campaigns/Elections/Politics
January 11, 2012; ABC Good Morning America; 102 word equivalents; Campaigns/Elections/Politics
January 11, 2012; ABC Good Morning America; 190 word equivalents; Campaigns/Elections/Politics
January 11, 2012; ABC Good Morning America; 132 word equivalents; Campaigns/Elections/Politics
January 11, 2012; ABC Good Morning America; 187 word equivalents; Campaigns/Elections/Politics
January 17, 2012; ABC Good Morning America; 435 word equivalents; Campaigns/Elections/Politics
January 19, 2012; ABC Good Morning America; 545 word equivalents; Campaigns/Elections/Politics
January 24, 2012; ABC Good Morning America; 412 word equivalents; Campaigns/Elections/Politics
January 26, 2012; ABC Good Morning America; 425 word equivalents; Campaigns/Elections/Politics
January 31, 2012; ABC Good Morning America; 372 word equivalents; Campaigns/Elections/Politics
January 31, 2012; ABC Good Morning America; 155 word equivalents; Campaigns/Elections/Politics
January 31, 2012; ABC Good Morning America; 357 word equivalents; Campaigns/Elections/Politics
February 2, 2012; ABC Good Morning America; 427 word equivalents; Campaigns/Elections/Politics
February 2, 2012; ABC Good Morning America; 97 word equivalents; Campaigns/Elections/Politics
February 6, 2012; ABC Good Morning America; 290 word equivalents; Campaigns/Elections/Politics
February 8, 2012; ABC Good Morning America; 425 word equivalents; Campaigns/Elections/Politics
February 8, 2012; ABC Good Morning America; 357 word equivalents; Campaigns/Elections/Politics
February 10, 2012; ABC Good Morning America; 472 word equivalents; Campaigns/Elections/Politics
February 15, 2012; ABC Good Morning America; 385 word equivalents; Campaigns/Elections/Politics
February 22, 2012; ABC Good Morning America; 385 word equivalents; Campaigns/Elections/Politics
February 22, 2012; ABC Good Morning America; 335 word equivalents; Campaigns/Elections/Politics
February 24, 2012; ABC Good Morning America; 377 word equivalents; Campaigns/Elections/Politics
February 28, 2012; ABC Good Morning America; 342 word equivalents; Campaigns/Elections/Politics
February 28, 2012; ABC Good Morning America; 290 word equivalents; Campaigns/Elections/Politics
March 1, 2012; ABC Good Morning America; 412 word equivalents; Campaigns/Elections/Politics
March 6, 2012; ABC Good Morning America; 360 word equivalents; U.S. Miscellaneous
March 6, 2012; ABC Good Morning America; 265 word equivalents; Campaigns/Elections/Politics
March 8, 2012; ABC Good Morning America; 360 word equivalents; Campaigns/Elections/Politics
March 13, 2012; ABC Good Morning America; 455 word equivalents; Campaigns/Elections/Politics
March 19, 2012; ABC Good Morning America; 162 word equivalents; Campaigns/Elections/Politics
March 21, 2012; ABC Good Morning America; 302 word equivalents; Campaigns/Elections/Politics
April 10, 2012; ABC Good Morning America; 340 word equivalents; Campaigns/Elections/Politics
April 17, 2012; ABC Good Morning America; 500 word equivalents; Campaigns/Elections/Politics
April 24, 2012; ABC Good Morning America; 317 word equivalents; Campaigns/Elections/Politics
May 11, 2012; ABC Good Morning America; 445 word equivalents; Campaigns/Elections/Politics
May 11, 2012; ABC Good Morning America; 185 word equivalents; Campaigns/Elections/Politics
May 14, 2012; ABC Good Morning America; 402 word equivalents; Campaigns/Elections/Politics
May 22, 2012; ABC Good Morning America; 422 word equivalents; Campaigns/Elections/Politics
January 3, 2012; ABC World News Tonight; 175 word equivalents; Campaigns/Elections/Politics
January 4, 2012; ABC World News Tonight; 385 word equivalents; Campaigns/Elections/Politics
January 4, 2012; ABC World News Tonight; 332 word equivalents; Campaigns/Elections/Politics
January 6, 2012; ABC World News Tonight; 322 word equivalents; Campaigns/Elections/Politics
January 6, 2012; ABC World News Tonight; 320 word equivalents; Campaigns/Elections/Politics
January 10, 2012; ABC World News Tonight; 177 word equivalents; Campaigns/Elections/Politics
January 10, 2012; ABC World News Tonight; 90 word equivalents; Campaigns/Elections/Politics
January 13, 2012; ABC World News Tonight; 447 word equivalents; Campaigns/Elections/Politics
January 18, 2012; ABC World News Tonight; 445 word equivalents; Economy/Economics
January 19, 2012; ABC World News Tonight; 472 word equivalents; Campaigns/Elections/Politics
January 24, 2012; ABC World News Tonight; 535 word equivalents; Campaigns/Elections/Politics
January 27, 2012; ABC World News Tonight; 390 word equivalents; Campaigns/Elections/Politics
January 30, 2012; ABC World News Tonight; 397 word equivalents; Campaigns/Elections/Politics
January 30, 2012; ABC World News Tonight; 200 word equivalents; Campaigns/Elections/Politics
January 31, 2012; ABC World News Tonight; 350 word equivalents; Campaigns/Elections/Politics
February 2, 2012; ABC World News Tonight; 495 word equivalents; Campaigns/Elections/Politics
February 8, 2012; ABC World News Tonight; 412 word equivalents; Campaigns/Elections/Politics
February 8, 2012; ABC World News Tonight; 175 word equivalents; Campaigns/Elections/Politics
February 14, 2012; ABC World News Tonight; 322 word equivalents; Campaigns/Elections/Politics
February 15, 2012; ABC World News Tonight; 522 word equivalents; Campaigns/Elections/Politics
February 24, 2012; ABC World News Tonight; 540 word equivalents; Campaigns/Elections/Politics
February 27, 2012; ABC World News Tonight; 372 word equivalents; Campaigns/Elections/Politics
February 29, 2012; ABC World News Tonight; 422 word equivalents; Campaigns/Elections/Politics
March 6, 2012; ABC World News Tonight; 260 word equivalents; Campaigns/Elections/Politics
March 6, 2012; ABC World News Tonight; 190 word equivalents; Campaigns/Elections/Politics
March 7, 2012; ABC World News Tonight; 410 word equivalents; Campaigns/Elections/Politics
March 7, 2012; ABC World News Tonight; 145 word equivalents; Campaigns/Elections/Politics
March 13, 2012; ABC World News Tonight; 345 word equivalents; Campaigns/Elections/Politics
March 19, 2012; ABC World News Tonight; 320 word equivalents; Campaigns/Elections/Politics
March 21, 2012; ABC World News Tonight; 357 word equivalents; Campaigns/Elections/Politics
March 28, 2012; ABC World News Tonight; 170 word equivalents; Campaigns/Elections/Politics
April 3, 2012; ABC World News Tonight; 442 word equivalents; Campaigns/Elections/Politics
April 11, 2012; ABC World News Tonight; 437 word equivalents; Campaigns/Elections/Politics
April 17, 2012; ABC World News Tonight; 395 word equivalents; Campaigns/Elections/Politics
April 23, 2012; ABC World News Tonight; 422 word equivalents; Campaigns/Elections/Politics
April 27, 2012; ABC World News Tonight; 317 word equivalents; Campaigns/Elections/Politics
April 30, 2012; ABC World News Tonight; 287 word equivalents; Campaigns/Elections/Politics
May 11, 2012; ABC World News Tonight; 360 word equivalents; Campaigns/Elections/Politics
May 21, 2012; ABC World News Tonight; 282 word equivalents; Campaigns/Elections/Politics
May 29, 2012; ABC World News Tonight; 415 word equivalents; Campaigns/Elections/Politics
January 3, 2012; NBC Today; 922 word equivalents; Campaigns/Elections/Politics
January 3, 2012; NBC Today; 167 word equivalents; Campaigns/Elections/Politics
January 5, 2012; NBC Today; 470 word equivalents; Campaigns/Elections/Politics
January 5, 2012; NBC Today; 125 word equivalents; Campaigns/Elections/Politics
January 5, 2012; NBC Today; 232 word equivalents; Campaigns/Elections/Politics
January 9, 2012; NBC Today; 457 word equivalents; Campaigns/Elections/Politics
January 9, 2012; NBC Today; 210 word equivalents; Campaigns/Elections/Politics
January 9, 2012; NBC Today; 582 word equivalents; Campaigns/Elections/Politics
January 9, 2012; NBC Today; 672 word equivalents; Campaigns/Elections/Politics
January 11, 2012; NBC Today; 557 word equivalents; Campaigns/Elections/Politics
January 11, 2012; NBC Today; 240 word equivalents; Campaigns/Elections/Politics
January 11, 2012; NBC Today; 422 word equivalents; Campaigns/Elections/Politics
January 11, 2012; NBC Today; 125 word equivalents; Campaigns/Elections/Politics
January 11, 2012; NBC Today; 180 word equivalents; Campaigns/Elections/Politics
January 11, 2012; NBC Today; 262 word equivalents; Campaigns/Elections/Politics
January 13, 2012; NBC Today; 467 word equivalents; Campaigns/Elections/Politics
January 13, 2012; NBC Today; 560 word equivalents; Campaigns/Elections/Politics
January 16, 2012; NBC Today; 465 word equivalents; Campaigns/Elections/Politics
January 18, 2012; NBC Today; 492 word equivalents; Campaigns/Elections/Politics
January 18, 2012; NBC Today; 654 word equivalents; Campaigns/Elections/Politics
January 18, 2012; NBC Today; 172 word equivalents; Campaigns/Elections/Politics
January 23, 2012; NBC Today; 477 word equivalents; Campaigns/Elections/Politics
January 23, 2012; NBC Today; 145 word equivalents; Campaigns/Elections/Politics
January 23, 2012; NBC Today; 150 word equivalents; Campaigns/Elections/Politics
January 23, 2012; NBC Today; 145 word equivalents; Campaigns/Elections/Politics
January 27, 2012; NBC Today; 545 word equivalents; Campaigns/Elections/Politics
January 27, 2012; NBC Today; 167 word equivalents; Campaigns/Elections/Politics
January 27, 2012; NBC Today; 240 word equivalents; Campaigns/Elections/Politics
January 31, 2012; NBC Today; 567 word equivalents; Campaigns/Elections/Politics
February 2, 2012; NBC Today; 250 word equivalents; Campaigns/Elections/Politics
February 2, 2012; NBC Today; 185 word equivalents; Campaigns/Elections/Politics
February 7, 2012; NBC Today; 442 word equivalents; Campaigns/Elections/Politics
February 7, 2012; NBC Today; 107 word equivalents; Campaigns/Elections/Politics
February 9, 2012; NBC Today; 447 word equivalents; Campaigns/Elections/Politics
February 16, 2012; NBC Today; 430 word equivalents; Campaigns/Elections/Politics
February 16, 2012; NBC Today; 330 word equivalents; Campaigns/Elections/Politics
February 22, 2012; NBC Today; 165 word equivalents; Campaigns/Elections/Politics
February 22, 2012; NBC Today; 315 word equivalents; Campaigns/Elections/Politics
February 24, 2012; NBC Today; 62 word equivalents; Campaigns/Elections/Politics
February 27, 2012; NBC Today; 445 word equivalents; Campaigns/Elections/Politics
February 29, 2012; NBC Today; 470 word equivalents; Campaigns/Elections/Politics
February 29, 2012; NBC Today; 442 word equivalents; Campaigns/Elections/Politics
March 5, 2012; NBC Today; 447 word equivalents; Campaigns/Elections/Politics
March 5, 2012; NBC Today; 297 word equivalents; Campaigns/Elections/Politics
March 5, 2012; NBC Today; 147 word equivalents; Campaigns/Elections/Politics
March 7, 2012; NBC Today; 557 word equivalents; Campaigns/Elections/Politics
March 7, 2012; NBC Today; 485 word equivalents; Campaigns/Elections/Politics
March 9, 2012; NBC Today; 510 word equivalents; Economy/Economics
March 13, 2012; NBC Today; 292 word equivalents; Campaigns/Elections/Politics
March 15, 2012; NBC Today; 537 word equivalents; Business
March 20, 2012; NBC Today; 472 word equivalents; Campaigns/Elections/Politics
March 22, 2012; NBC Today; 495 word equivalents; Campaigns/Elections/Politics
April 4, 2012; NBC Today; 467 word equivalents; Campaigns/Elections/Politics
April 11, 2012; NBC Today; 505 word equivalents; Campaigns/Elections/Politics
April 18, 2012; NBC Today; 480 word equivalents; Campaigns/Elections/Politics
April 18, 2012; NBC Today; 195 word equivalents; Campaigns/Elections/Politics
April 20, 2012; NBC Today; 240 word equivalents; Campaigns/Elections/Politics
April 20, 2012; NBC Today; 325 word equivalents; Campaigns/Elections/Politics
April 24, 2012; NBC Today; 540 word equivalents; Campaigns/Elections/Politics
May 8, 2012; NBC Today; 167 word equivalents; Campaigns/Elections/Politics
May 14, 2012; NBC Today; 497 word equivalents; Campaigns/Elections/Politics
May 30, 2012; NBC Today; 502 word equivalents; Campaigns/Elections/Politics
January 2, 2012; NBC Nightly News; 190 word equivalents; Campaigns/Elections/Politics
January 3, 2012; NBC Nightly News; 192 word equivalents; Campaigns/Elections/Politics
January 3, 2012; NBC Nightly News; 160 word equivalents; Campaigns/Elections/Politics
January 9, 2012; NBC Nightly News; 510 word equivalents; Campaigns/Elections/Politics
January 9, 2012; NBC Nightly News; 437 word equivalents; Campaigns/Elections/Politics
January 11, 2012; NBC Nightly News; 455 word equivalents; Campaigns/Elections/Politics
January 12, 2012; NBC Nightly News; 435 word equivalents; Campaigns/Elections/Politics
January 17, 2012; NBC Nightly News; 437 word equivalents; Campaigns/Elections/Politics
January 18, 2012; NBC Nightly News; 170 word equivalents; Campaigns/Elections/Politics
January 20, 2012; NBC Nightly News; 570 word equivalents; Campaigns/Elections/Politics
January 23, 2012; NBC Nightly News; 510 word equivalents; Campaigns/Elections/Politics
January 23, 2012; NBC Nightly News; 327 word equivalents; Campaigns/Elections/Politics
January 24, 2012; NBC Nightly News; 430 word equivalents; Campaigns/Elections/Politics
January 24, 2012; NBC Nightly News; 390 word equivalents; Campaigns/Elections/Politics
January 27, 2012; NBC Nightly News; 475 word equivalents; Campaigns/Elections/Politics
January 30, 2012; NBC Nightly News; 487 word equivalents; Campaigns/Elections/Politics
January 30, 2012; NBC Nightly News; 250 word equivalents; Campaigns/Elections/Politics
February 1, 2012; NBC Nightly News; 377 word equivalents; Campaigns/Elections/Politics
February 2, 2012; NBC Nightly News; 400 word equivalents; Campaigns/Elections/Politics
February 2, 2012; NBC Nightly News; 337 word equivalents; Campaigns/Elections/Politics
February 8, 2012; NBC Nightly News; 227 word equivalents; Campaigns/Elections/Politics
February 14, 2012; NBC Nightly News; 402 word equivalents; Campaigns/Elections/Politics
February 16, 2012; NBC Nightly News; 442 word equivalents; Campaigns/Elections/Politics
February 22, 2012; NBC Nightly News; 210 word equivalents; Campaigns/Elections/Politics
February 23, 2012; NBC Nightly News; 345 word equivalents; Campaigns/Elections/Politics
February 28, 2012; NBC Nightly News; 500 word equivalents; Campaigns/Elections/Politics
February 28, 2012; NBC Nightly News; 362 word equivalents; Campaigns/Elections/Politics
February 29, 2012; NBC Nightly News; 230 word equivalents; Campaigns/Elections/Politics
March 5, 2012; NBC Nightly News; 402 word equivalents; Campaigns/Elections/Politics
March 6, 2012; NBC Nightly News; 337 word equivalents; Campaigns/Elections/Politics
March 6, 2012; NBC Nightly News; 35 word equivalents; Campaigns/Elections/Politics
March 9, 2012; NBC Nightly News; 347 word equivalents; Campaigns/Elections/Politics
March 14, 2012; NBC Nightly News; 397 word equivalents; Campaigns/Elections/Politics
March 20, 2012; NBC Nightly News; 162 word equivalents; Campaigns/Elections/Politics
March 21, 2012; NBC Nightly News; 370 word equivalents; Campaigns/Elections/Politics
March 29, 2012; NBC Nightly News; 57 word equivalents; Campaigns/Elections/Politics
April 4, 2012; NBC Nightly News; 215 word equivalents; Campaigns/Elections/Politics
April 5, 2012; NBC Nightly News; 65 word equivalents; Race/Gender/Gay Issues
April 10, 2012; NBC Nightly News; 219 word equivalents; Campaigns/Elections/Politics
April 13, 2012; NBC Nightly News; 70 word equivalents; Campaigns/Elections/Politics
April 16, 2012; NBC Nightly News; 297 word equivalents; Campaigns/Elections/Politics
April 19, 2012; NBC Nightly News; 405 word equivalents; Campaigns/Elections/Politics
April 23, 2012; NBC Nightly News; 102 word equivalents; Campaigns/Elections/Politics
April 23, 2012; NBC Nightly News; 42 word equivalents; Campaigns/Elections/Politics
April 25, 2012; NBC Nightly News; 362 word equivalents; Campaigns/Elections/Politics
May 8, 2012; NBC Nightly News; 72 word equivalents; Campaigns/Elections/Politics
May 10, 2012; NBC Nightly News; 427 word equivalents; Campaigns/Elections/Politics
May 11, 2012; NBC Nightly News; 160 word equivalents; Campaigns/Elections/Politics
May 14, 2012; NBC Nightly News; 307 word equivalents; Campaigns/Elections/Politics
May 17, 2012; NBC Nightly News; 372 word equivalents; Campaigns/Elections/Politics
May 22, 2012; NBC Nightly News; 425 word equivalents; Campaigns/Elections/Politics
May 28, 2012; NBC Nightly News; 415 word equivalents; Campaigns/Elections/Politics
May 29, 2012; NBC Nightly News; 402 word equivalents; Campaigns/Elections/Politics
